folio,A_fecha,A_1_1,A_1_2,A_2_1_1,A_2_1_2,A_2_1_3,A_2_1_4,A_2_1_5,A_2_1_6,A_2_1_7,A_2_1_O,A_3_1,A_4_1_1,A_4_1_2,A_4_1_3,A_4_1_4,A_4_1_O,A_4_21,A_4_22,A_4_23,A_4_24,A_4_25,A_4_26,A_4_27,A_4_2_1,A_4_2_2,A_4_2_3,A_4_2_4,A_4_2_5,A_4_2_O,A_4_2_6,A_4_3,A_4_3_O,A_4_4,A_4_4_O,A_4_5,A_4_6,A_4_7_1,A_4_7_2,A_4_7_3,A_4_7_4,A_4_7_5,A_4_7_O,A_5_1,A_5_2,A_5_3,A_5_4,A_5_5,A_5_6,A_5_7,A_5_8,A_5_9,A_6_1,A_6_2,A_6_3,A_6_4,A_7_1,A_7_1_O,A_7_2_1,A_7_2_2,A_7_2_3,A_7_2_4,A_7_2_5,A_7_2_6,A_7_2_7,A_7_2_8,A_7_2_9,A_7_2_O,A_7_3,A_7_3_O,A_8_1,A_8_2,A_9_1,A_9_2,A_9_3,A_9_4,A_10_1_1,A_10_1_2,A_10_1_3,A_10_2_1,A_10_2_2,A_10_2_3,A_10_2_4,A_10_2_5,A_10_2_6,A_10_2_7,A_10_2_8
0261-2014,8-Mar,2016,28-Aug,1961,Preparatoria,Indemnización por despido injustificado,,,,,,,,Más de 100 empleados,Porque no tengo los conocimientos para demandar,,,,,Porcentaje(%) de lo que obtengo en el juicio,,,,,,,,25,,,,,,No sabe,,Me lo recomendó un familiar o amigo,,Mi abogado y yo decidiríamos juntos si aceptar o no la oferta,Sí,Otra,,,,,Las audiencias tan espaciadas,100,100,50000,60000,50000,1,2,1.0833334,50000,No tan bien,Medianamente común,Nada,50000,No Sabe,,Indemnización Constitucional,,,,,,,,,,No,,Totalmente de acuerdo,Mucho,Sí,No,,Totalmente de acuerdo,"$50,000 ","$50,000 ","$50,000 ","$10,000 MAÑANA","$10,000 MAÑANA","$10,000 MAÑANA","$10,000 MAÑANA","$10,000 MAÑANA",
0043-2016,11-Mar,2016,11-Jun,1990,Más que preparatoria,Indemnización por despido injustificado,,,,,,,,1 a 10 empleados,Porque no tengo los conocimientos para demandar,,,,,Ningun pago,,,,,,,,,,,,,,No sabe,,Me lo asignaron en la Procuraduría de la Defensa del Trabajador,,"Yo decidiría si aceptar o no la oferta, sin consultar a mi abogado",Sí,Otra,,,,,G5tg6,90,30,20000,36000,25000,2,3,2,20000,Muy bien,Poco común,Mucho,36000,No Sabe,,No Sabe,,,,,,,,,,No,,Totalmente de acuerdo,Nada,No,Sí,90,Totalmente de acuerdo,"Tómbola de $100,000 con 50% de probabilidad y $0 con 50% de probabliidad","Tómbola de $100,000 con 60% de probabilidad y $0 con 40% de probabliidad","Tómbola de $100,000 con 70% de probabilidad y $0 con 30% de probabliidad","$10,000 MAÑANA","$10,000 MAÑANA","$15,000 EN UN MES",,,
2186-2015,4-Mar,2016,20-Dec,1964,Secundaria,Indemnización por despido injustificado,,,,,,,,11 a 50 empleados,Porque no tengo los conocimientos para demandar,,,,,Otra forma de pago,,,,,,,,,,,,Por  ser   un   conocido,1,No sabe,,Es un familiar o amigo,,Mi abogado y yo decidiríamos juntos si aceptar o no la oferta,No,,,,,,,50,50,0,0,0,0.33333334,0.5,0.41666666,50000,No tan bien,Medianamente común,Mucho,50000,No Sabe,,No Sabe,,,,,,,,,,No,,Algo de acuerdo,Mucho,Sí,Sí,50,Totalmente de acuerdo,"Tómbola de $100,000 con 50% de probabilidad y $0 con 50% de probabliidad","Tómbola de $100,000 con 60% de probabilidad y $0 con 40% de probabliidad","Tómbola de $100,000 con 70% de probabilidad y $0 con 30% de probabliidad","$10,000 MAÑANA","$10,000 MAÑANA","$10,000 MAÑANA","$10,000 MAÑANA","$10,000 MAÑANA",
2021-2014,2-Mar,2016,30-Jan,1969,Más que preparatoria,Indemnización por despido injustificado,Pago de prestaciones,Pago de finiquito,,,,,,Más de 100 empleados,Porque no tengo los conocimientos para demandar,,,,,Porcentaje(%) de lo que obtengo en el juicio,,,,,,,,30,,,,,,No sabe,,Me lo recomendó un familiar o amigo,,"Yo decidiría si aceptar o no la oferta, sin consultar a mi abogado",No,,,,,,,50,75,200000,500000,300000,1.5,3,2,150000,No tan bien,Muy común,Mucho,300000,No Sabe,,Indemnización Constitucional,Aguinaldo,,,,,,,,,No,,Totalmente de acuerdo,Mucho,Sí,Sí,30,Totalmente de acuerdo,"$50,000 ","$50,000 ","Tómbola de $100,000 con 70% de probabilidad y $0 con 30% de probabliidad","$10,000 MAÑANA","$12,000 EN UN MES",,,,
1413-2015,3-Mar,2016,24-Jun,1951,Más que preparatoria,Pago de prestaciones,,,,,,,,No Sabe ,Porque no tengo los conocimientos para demandar,,,,,Porcentaje(%) de lo que obtengo en el juicio,,,,,,,,35,,,,,,No sabe,,Otra,Recomendacion,Mi abogado y yo decidiríamos juntos si aceptar o no la oferta,No,,,,,,,99,55,0,0,0,0.91666669,8.416667,1.9166666,0,Nada bien,Medianamente común,Nada,0,No Sabe,,Indemnización Constitucional,,,,,,,,,,No,,Totalmente de acuerdo,Mucho,No,Sí,66,Totalmente de acuerdo,"Tómbola de $100,000 con 50% de probabilidad y $0 con 50% de probabliidad","Tómbola de $100,000 con 60% de probabilidad y $0 con 40% de probabliidad","Tómbola de $100,000 con 70% de probabilidad y $0 con 30% de probabliidad","$10,000 MAÑANA","$10,000 MAÑANA","$10,000 MAÑANA","$10,000 MAÑANA","$10,000 MAÑANA",
1533-2012,3-Mar,2016,21-Apr,1947,Primaria,Indemnización por despido injustificado,Pago de prestaciones,Pago de finiquito,,,,,,11 a 50 empleados,Porque no tengo los conocimientos para demandar,Porque no tengo tiempo para atender mi demanda,,,,Un solo pago SOLO si gano el juicio,,,,,,,,,,,1,,,No sabe,,Otra,Su maestro del taller se lo asignÃ³ (su abogado es hermano del patrÃ³n demandado),Mi abogado y yo decidiríamos juntos si aceptar o no la oferta,No,,,,,,,100,0,250000,300000,300000,5,8,6,300000,Muy bien,Nada común,Mucho,300000,No Sabe,,No Sabe,,,,,,,,,,No,,Nada de acuerdo,Nada,No,No,,Totalmente de acuerdo,"$50,000 ","$50,000 ","$50,000 ","$10,000 MAÑANA","$12,000 EN UN MES",,,,
1141-2014,2-Mar,2016,2-Jan,1988,Preparatoria,Pago de finiquito,,,,,,,,1 a 10 empleados,Porque no tengo los conocimientos para demandar,,,,,Ningun pago,,,,,,,,,,,,,,No sabe,,Me lo asignaron en la Procuraduría de la Defensa del Trabajador,,Mi abogado y yo decidiríamos juntos si aceptar o no la oferta,No,,,,,,,30,30,5000,11000,10000,1.9166666,6.9166665,4.9166665,7000,Muy bien,Poco común,Mucho,12000,No Sabe,,Seguro de gastos médicos mayores,Prima por trabajar los sábados,Aguinaldo,,,,,,,,No,,Poco de acuerdo,Mucho,No,Sí,30,Algo de acuerdo,"$50,000 ","$50,000 ","$50,000 ","$10,000 MAÑANA","$10,000 MAÑANA","$10,000 MAÑANA","$10,000 MAÑANA","$10,000 MAÑANA",
0977-2015,26-May,2016,1-Sep,1982,Preparatoria,Indemnización por despido injustificado,Pago de finiquito,,,,,,,11 a 50 empleados,Porque no se permite demandar sin un abogado,,,,,Ningun pago,,,,,,,,,,,,,,No sabe,,Me lo asignaron en la Procuraduría de la Defensa del Trabajador,,Mi abogado y yo decidiríamos juntos si aceptar o no la oferta,No,,,,,,,80,50,35000,50000,35000,2,3,2.5,35000,No tan bien,Muy común,Medianamente,50000,No Sabe,,Indemnización Constitucional,Seguro de gastos médicos mayores,Aguinaldo,,,,,,,,No,,Algo de acuerdo,Medianamente,Sí,No,,Totalmente de acuerdo,"$50,000 ","$50,000 ","Tómbola de $100,000 con 70% de probabilidad y $0 con 30% de probabliidad","$10,000 MAÑANA","$10,000 MAÑANA","$10,000 MAÑANA","$10,000 MAÑANA","$10,000 MAÑANA",
0289-2016,22-Apr,2016,21-Feb,1980,Más que preparatoria,Otra,,,,,,,,Más de 100 empleados,Otra,,,,,Porcentaje(%) de lo que obtengo en el juicio,,,,,,,,4,,,,,,No sabe,,Otra,No tengo abogado,Mi abogado y yo decidiríamos juntos si aceptar o no la oferta,No,,,,,,,100,0,60000,60000,60000,1,1.0833334,1.0833334,60000,No tan bien,Muy común,Mucho,60000,No Sabe,,Prima por trabajar los sábados,Otro,,,,,,,,Aguinaldo,No,,Algo de acuerdo,Medianamente,No,No,,Nada de acuerdo,"$50,000 ","$50,000 ","$50,000 ","$10,000 MAÑANA","$10,000 MAÑANA","$10,000 MAÑANA","$10,000 MAÑANA","$10,000 MAÑANA",
0358-2014,16-Mar,2016,4-Jun,1951,Preparatoria,Indemnización por despido injustificado,,,,,,,,51 a 100 empleados,Porque no se permite demandar sin un abogado,,,,,Porcentaje(%) de lo que obtengo en el juicio,,,,,,,,33,,,,,,Sí sabe,25000,Otra,Lo encontrÃ³ en la entrada de la junta,"Yo decidiría si aceptar o no la oferta, sin consultar a mi abogado",No,,,,,,,100,0,25000,25000,25000,1.5,3.0833333,3,25000,Muy bien,Muy común,Mucho,25000,Sí Sabe,90,Indemnización Constitucional,Seguro de gastos médicos mayores,Prima por trabajar los sábados,Aguinaldo,,,,,,,Sí,1,Nada de acuerdo,Poco ,Sí,Sí,10,Algo de acuerdo,"$50,000 ","$50,000 ","$50,000 ","$10,000 MAÑANA","$10,000 MAÑANA","$15,000 EN UN MES",,,
0332-2016,29-Apr,2016,16-Jul,1957,Secundaria,Indemnización por despido injustificado,,,,,,,,11 a 50 empleados,Porque no tengo los conocimientos para demandar,,,,,Ningun pago,,,,,,,,,,,,,,No sabe,,Me lo asignaron en la Procuraduría de la Defensa del Trabajador,,Mi abogado y yo decidiríamos juntos si aceptar o no la oferta,No,,,,,,,50,50,0,0,0,5,10,6,5000,Nada bien,Muy común,Mucho,5000,No Sabe,,Indemnización Constitucional,,,,,,,,,,Sí,1,Nada de acuerdo,Nada,Sí,No,,Nada de acuerdo,"$50,000 ","$50,000 ","$50,000 ","$10,000 MAÑANA","$10,000 MAÑANA","$10,000 MAÑANA","$10,000 MAÑANA","$10,000 MAÑANA",
0776-2012,19-May,2016,30-Dec,1961,Más que preparatoria,Indemnización por despido injustificado,,,,,,,,Más de 100 empleados,Porque no se permite demandar sin un abogado,Otra,,,,Porcentaje(%) de lo que obtengo en el juicio,,,,,,,,68,,,,,,Sí sabe,13000,Me lo recomendó un familiar o amigo,,Mi abogado y yo decidiríamos juntos si aceptar o no la oferta,Sí,El desempeño de mi abogado era deficiente,,,,,,90,50,20000,20000,20000,4.1666665,5.1666665,5.1666665,20000,Nada bien,Muy común,Mucho,25000,No Sabe,,Indemnización Constitucional,Horas extraordinarias,Prima por trabajar los sábados,Aguinaldo,,,,,,,Sí,1,Nada de acuerdo,Mucho,Sí,No,,Poco de acuerdo,"$50,000 ","$50,000 ","$50,000 ","$10,000 MAÑANA","$10,000 MAÑANA","$10,000 MAÑANA","$10,000 MAÑANA","$30,000 EN UN MES",
1439-2015,31-Mar,2016,15-Mar,1967,Más que preparatoria,Indemnización por despido injustificado,,,,,,,,11 a 50 empleados,Porque no tengo los conocimientos para demandar,,,,,Ningun pago,,,,,,,,,,,,,,No sabe,,Me lo asignaron en la Procuraduría de la Defensa del Trabajador,,Mi abogado y yo decidiríamos juntos si aceptar o no la oferta,No,,,,,,,90,90,150000,230000,150000,1.9166666,2.0833333,2,200000,Medianamente bien,Muy común,Medianamente,200000,Sí Sabe,90,Indemnización Constitucional,Aguinaldo,Otro,,,,,,,Sueldos caidos,Sí,1,Poco de acuerdo,Medianamente,No,Sí,40,Totalmente de acuerdo,"Tómbola de $100,000 con 50% de probabilidad y $0 con 50% de probabliidad","Tómbola de $100,000 con 60% de probabilidad y $0 con 40% de probabliidad","Tómbola de $100,000 con 70% de probabilidad y $0 con 30% de probabliidad","$10,000 MAÑANA","$10,000 MAÑANA","$10,000 MAÑANA","$20,000 EN UN MES",,
1006-2013,26-Apr,2016,18-Jul,1977,Preparatoria,Indemnización por despido injustificado,,,,,,,,No Sabe ,Porque no tengo los conocimientos para demandar,,,,,Ningun pago,,,,,,,,,,,,,,No sabe,,Me lo asignaron en la Procuraduría de la Defensa del Trabajador,,Mi abogado y yo decidiríamos juntos si aceptar o no la oferta,No,,,,,,,50,100,50000,70000,50000,1.9166666,5.9166665,3.9166667,50000,Nada bien,Muy común,Medianamente,100000,No Sabe,,Indemnización Constitucional,,,,,,,,,,No,,Poco de acuerdo,Mucho,No,Sí,50,Totalmente de acuerdo,"$50,000 ","$50,000 ","$50,000 ","$10,000 EN UN MES",,,,,
0229-2016,15-Apr,2016,20-Feb,1950,Secundaria,Indemnización por despido injustificado,Pago de prestaciones,,,,,,,Más de 100 empleados,Porque no tengo los conocimientos para demandar,,,,,Porcentaje(%) de lo que obtengo en el juicio,,,,,,,,30,,,,,,No sabe,,Es un familiar o amigo,,Mi abogado y yo decidiríamos juntos si aceptar o no la oferta,No,,,,,,,100,50,30000,45000,35000,1,2,1,25000,Nada bien,Muy común,Mucho,25000,No Sabe,,Indemnización Constitucional,Horas extraordinarias,Prima por trabajar los sábados,Aguinaldo,,,,,,,No,,Nada de acuerdo,Mucho,No,Sí,10,Totalmente de acuerdo,"$50,000 ","$50,000 ","$50,000 ","$10,000 MAÑANA","$12,000 EN UN MES",,,,
1216-2015,30-Mar,2016,23-Nov,1988,Más que preparatoria,Pago de finiquito,,,,,,,,11 a 50 empleados,Porque no tengo los conocimientos para demandar,,,,,Ningun pago,,,,,,,,,,,,,,Sí sabe,25000,Me lo asignaron en la Procuraduría de la Defensa del Trabajador,,Mi abogado y yo decidiríamos juntos si aceptar o no la oferta,No,,,,,,,100,50,15000,20000,15000,2.0833333,5.1666665,3.3333333,15000,No tan bien,Muy común,Medianamente,20000,No Sabe,,Horas extraordinarias,Aguinaldo,,,,,,,,,No,,Poco de acuerdo,Mucho,Sí,No,,Algo de acuerdo,"$50,000 ","$50,000 ","$50,000 ","$10,000 MAÑANA","$10,000 MAÑANA","$10,000 MAÑANA","$20,000 EN UN MES",,
0008-2015,28-Mar,2016,15-May,1991,Más que preparatoria,Pago de finiquito,,,,,,,,11 a 50 empleados,Porque no se permite demandar sin un abogado,,,,,Pago mensual,,,,,,,,,1000,,,,,Sí sabe,12000,Me lo recomendó un familiar o amigo,,Mi abogado y yo decidiríamos juntos si aceptar o no la oferta,No,,,,,,,80,30,0,0,0,2,2.0833333,2.0833333,0,Medianamente bien,Poco común,Mucho,0,Sí Sabe,0,Indemnización Constitucional,Seguro de gastos médicos mayores,Reinstalación,Horas extraordinarias,Aguinaldo,,,,,,No,,Nada de acuerdo,Mucho,Sí,No,,Poco de acuerdo,"$50,000 ","$50,000 ","$50,000 ","$10,000 EN UN MES",,,,,
0069-2014,26-Apr,2016,4-Apr,1956,Más que preparatoria,Indemnización por despido injustificado,Pago de finiquito,,,,,,,Más de 100 empleados,Porque no se permite demandar sin un abogado,Porque no tengo los conocimientos para demandar,,,,Ningun pago,,,,,,,,,,,,,,No sabe,,Me lo recomendaron en la Junta,,Mi abogado y yo decidiríamos juntos si aceptar o no la oferta,No,,,,,,,100,0,5000,13000,8000,3.5,4.5,4.5,5000,Medianamente bien,Muy común,Nada,6000,No Sabe,,Indemnización Constitucional,,,,,,,,,,No,,Totalmente de acuerdo,Mucho,No,Sí,50,Totalmente de acuerdo,"$50,000 ","$50,000 ","$50,000 ","$10,000 MAÑANA","$10,000 MAÑANA","$10,000 MAÑANA","$10,000 MAÑANA","$30,000 EN UN MES",
1763-2015,2-May,2016,25-Jul,1987,Más que preparatoria,Indemnización por despido injustificado,,,,,,,,Más de 100 empleados,Porque no tengo los conocimientos para demandar,,,,,Porcentaje(%) de lo que obtengo en el juicio,,,,,,,,80,,,,,,Sí sabe,25000,Por internet,,Mi abogado y yo decidiríamos juntos si aceptar o no la oferta,No,,,,,,,90,30,15000,28500,20000,1.5,2.5,2.5,26000,No tan bien,Medianamente común,Poco,25000,Sí Sabe,90,Indemnización Constitucional,Aguinaldo,,,,,,,,,No,,Algo de acuerdo,Mucho,Sí,No,,Algo de acuerdo,"$50,000 ","$50,000 ","$50,000 ","$10,000 MAÑANA","$10,000 MAÑANA","$15,000 EN UN MES",,,
0353-2016,13-May,2016,18-Jan,1970,Secundaria,Indemnización por despido injustificado,,,,,,,,1 a 10 empleados,Porque no tengo los conocimientos para demandar,,,,,Ningun pago,,,,,,,,,,,,,,No sabe,,Me lo asignaron en la Procuraduría de la Defensa del Trabajador,,Mi abogado y yo decidiríamos juntos si aceptar o no la oferta,No,,,,,,,100,100,20000,22000,20000,1.9166666,2,2,20000,Nada bien,Muy común,Mucho,20000,No Sabe,,Indemnización Constitucional,,,,,,,,,,Sí,1,Algo de acuerdo,Mucho,No,Sí,60,Totalmente de acuerdo,"$50,000 ","$50,000 ","$50,000 ","$10,000 EN UN MES",,,,,
0379-2016,20-May,2016,6-Apr,1991,Secundaria,Indemnización por despido injustificado,,,,,,,,11 a 50 empleados,Porque no tengo los conocimientos para demandar,,,,,Pago para iniciar el juicio,,,,,,,3000,,,,,,,No sabe,,Me lo recomendó un familiar o amigo,,"Yo decidiría si aceptar o no la oferta, sin consultar a mi abogado",No,,,,,,,70,40,50000,100000,70000,1,2,1.5,75000,No tan bien,Muy común,Mucho,85000,Sí Sabe,20,Indemnización Constitucional,,,,,,,,,,No,,Poco de acuerdo,Medianamente,Sí,No,,Totalmente de acuerdo,"$50,000 ","$50,000 ","$50,000 ","$10,000 MAÑANA","$10,000 MAÑANA","$10,000 MAÑANA","$20,000 EN UN MES",,
