
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)",="(17)",="(18)"
="2.treatment#1.interaction",="-0.062",="-0.0013",="0.027",="-0.070",="-0.022",="-0.013",="-0.015",="-0.0070",="-0.0053",="-0.040",="-0.052",="0.0078",="-0.044",="-0.057",="-0.0083",="-0.036",="-0.0079",="0.024"
="",="(0.050)",="(0.076)",="(0.047)",="(0.050)",="(0.053)",="(0.035)",="(0.048)",="(0.051)",="(0.035)",="(0.047)",="(0.053)",="(0.034)",="(0.095)",="(0.12)",="(0.057)",="(0.051)",="(0.074)",="(0.047)"

="7.junta",="0",="0.034",="-0.039",="0",="0.032",="-0.042",="0",="0.040",="-0.032",="0",="0.038",="-0.041",="0",="0.034",="-0.036",="0",="0.034",="-0.039"
="",="(.)",="(0.040)",="(0.026)",="(.)",="(0.039)",="(0.027)",="(.)",="(0.040)",="(0.025)",="(.)",="(0.040)",="(0.026)",="(.)",="(0.039)",="(0.026)",="(.)",="(0.038)",="(0.026)"

="2.junta",="",="0",="0",="",="0",="0",="",="0",="0",="",="0",="0",="",="0",="0",="",="0",="0"
="",="",="(.)",="(.)",="",="(.)",="(.)",="",="(.)",="(.)",="",="(.)",="(.)",="",="(.)",="(.)",="",="(.)",="(.)"

="9.junta",="",="-0.0023",="-0.015",="",="-0.0064",="-0.016",="",="-0.000053",="-0.0079",="",="-0.0057",="-0.013",="",="-0.0058",="-0.011",="",="-0.00082",="-0.012"
="",="",="(0.035)",="(0.033)",="",="(0.034)",="(0.033)",="",="(0.035)",="(0.032)",="",="(0.034)",="(0.032)",="",="(0.034)",="(0.033)",="",="(0.035)",="(0.033)"

="11.junta",="",="0.19***",="0.20***",="",="0.21***",="0.21***",="",="0.21***",="0.21***",="",="0.20***",="0.20***",="",="0.20***",="0.20***",="",="0.19***",="0.19***"
="",="",="(0.037)",="(0.036)",="",="(0.039)",="(0.039)",="",="(0.038)",="(0.037)",="",="(0.038)",="(0.037)",="",="(0.038)",="(0.037)",="",="(0.037)",="(0.036)"

="16.junta",="",="-0.032",="-0.047",="",="-0.015",="-0.036",="",="-0.030",="-0.042",="",="-0.035",="-0.048",="",="-0.029",="-0.046",="",="-0.029",="-0.047"
="",="",="(0.031)",="(0.029)",="",="(0.031)",="(0.030)",="",="(0.031)",="(0.028)",="",="(0.032)",="(0.030)",="",="(0.030)",="(0.029)",="",="(0.032)",="(0.030)"

="0.p_actor",="",="",="0",="",="",="0",="",="",="0",="",="",="0",="",="",="0",="",="",="0"
="",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)"

="1.p_actor",="",="",="0.074",="",="",="0.17***",="",="",="0.046",="",="",="0.14**",="",="",="0.14***",="",="",="0.097*"
="",="",="",="(0.049)",="",="",="(0.050)",="",="",="(0.071)",="",="",="(0.056)",="",="",="(0.042)",="",="",="(0.050)"

="1.treatment#0.p_actor",="",="",="0",="",="",="0",="",="",="0",="",="",="0",="",="",="0",="",="",="0"
="",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)"

="1.treatment#1.p_actor",="",="",="0",="",="",="0",="",="",="0",="",="",="0",="",="",="0",="",="",="0"
="",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)"

="2.treatment#0.p_actor",="",="",="0",="",="",="0",="",="",="0",="",="",="0",="",="",="0",="",="",="0"
="",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)"

="2.treatment#1.p_actor",="",="",="0.26***",="",="",="0.19***",="",="",="0.25***",="",="",="0.20***",="",="",="0.19***",="",="",="0.22***"
="",="",="",="(0.074)",="",="",="(0.067)",="",="",="(0.092)",="",="",="(0.068)",="",="",="(0.058)",="",="",="(0.070)"

="0.p_actor#0.interaction",="",="",="0",="",="",="0",="",="",="0",="",="",="0",="",="",="0",="",="",="0"
="",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)"

="0.p_actor#1.interaction",="",="",="0",="",="",="0",="",="",="0",="",="",="0",="",="",="0",="",="",="0"
="",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)"

="1.p_actor#0.interaction",="",="",="0",="",="",="0",="",="",="0",="",="",="0",="",="",="0",="",="",="0"
="",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)"

="1.p_actor#1.interaction",="",="",="0.14",="",="",="-0.00084",="",="",="0.14",="",="",="0.044",="",="",="0.083",="",="",="0.091"
="",="",="",="(0.085)",="",="",="(0.082)",="",="",="(0.090)",="",="",="(0.082)",="",="",="(0.11)",="",="",="(0.087)"

="1.treatment#0.p_actor#0.interaction",="",="",="0",="",="",="0",="",="",="0",="",="",="0",="",="",="0",="",="",="0"
="",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)"

="1.treatment#0.p_actor#1.interaction",="",="",="0",="",="",="0",="",="",="0",="",="",="0",="",="",="0",="",="",="0"
="",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)"

="1.treatment#1.p_actor#0.interaction",="",="",="0",="",="",="0",="",="",="0",="",="",="0",="",="",="0",="",="",="0"
="",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)"

="1.treatment#1.p_actor#1.interaction",="",="",="0",="",="",="0",="",="",="0",="",="",="0",="",="",="0",="",="",="0"
="",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)"

="2.treatment#0.p_actor#0.interaction",="",="",="0",="",="",="0",="",="",="0",="",="",="0",="",="",="0",="",="",="0"
="",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)"

="2.treatment#0.p_actor#1.interaction",="",="",="0",="",="",="0",="",="",="0",="",="",="0",="",="",="0",="",="",="0"
="",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)"

="2.treatment#1.p_actor#0.interaction",="",="",="0",="",="",="0",="",="",="0",="",="",="0",="",="",="0",="",="",="0"
="",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)"

="2.treatment#1.p_actor#1.interaction",="",="",="-0.22*",="",="",="-0.11",="",="",="-0.14",="",="",="-0.16",="",="",="-0.25*",="",="",="-0.13"
="",="",="",="(0.12)",="",="",="(0.11)",="",="",="(0.12)",="",="",="(0.11)",="",="",="(0.14)",="",="",="(0.11)"

="_cons",="0.050***",="0.077**",="0.080***",="0.044**",="0.097***",="0.066**",="0.050***",="0.088**",="0.089***",="0.071***",="0.086**",="0.086***",="0.055***",="0.11***",="0.092***",="0.047***",="0.064*",="0.069**"
="",="(0.017)",="(0.038)",="(0.028)",="(0.018)",="(0.032)",="(0.027)",="(0.019)",="(0.034)",="(0.028)",="(0.020)",="(0.035)",="(0.028)",="(0.014)",="(0.028)",="(0.025)",="(0.017)",="(0.038)",="(0.028)"

="N",="564",="1069",="1633",="533",="1043",="1576",="580",="1076",="1656",="594",="1083",="1677",="594",="1083",="1677",="525",="1083",="1608"
="R-sq",="0.012",="0.063",="0.136",="0.012",="0.054",="0.140",="0.011",="0.056",="0.131",="0.012",="0.055",="0.133",="0.017",="0.053",="0.136",="0.012",="0.066",="0.142"

="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
