"backup.tipo_de_abogado","backup.giro_empresa","backup.trab_base","backup.acci_on_principal","backup.causa","backup.sueldo_diario_integrado","backup.gen","backup.ano_nac","backup.horas","backup.reinstalacion_t","backup.indem_const_t","backup.sal_caidos_t","backup.rec_hr_extra","backup.rec_20_d_ias_t","backup.sarimssinfo","backup.modo_de_termino","backup.liq_total","backup.cod_imss","backup.antig_anos","backup.djuicio","backup.id","backup.menor.3.anos"
"0","3","0","2","0",259.26,"1",NA,14,"0","1","1","1","0","1",NA,NA,"1",0.441095890410959,NA,34,0
"0","2","0","2","0",600,"1",NA,55,"0","1","1","1","0","1","desiste",0,"1",0.449315068493151,0.553424657534247,35,1
"0","3","0","1","0",200,"1",NA,60,"1","1","1","1","1","0","caducidad",0,"1",1.23561643835616,3.2,36,0
"1","2","0","2","0",138.56,"0",NA,50,"0","1","1","0","0","0","convenio",7000,"1",0.249315068493151,0.572602739726027,37,1
"1","3","0","2","0",108.17,"1",NA,36,"0","1","1","0","0","1","caducidad",0,"1",0.778082191780822,2.45753424657534,38,1
"0","1","1","1","0",812.52,"1",NA,45,"1","1","1","0","1","0","convenio",120000,"1",13.4630136986301,0.0794520547945206,39,1
"1","1","0","2","0",121.36,"1",NA,35,"0","1","1","0","0","0","convenio",11033,"1",1.78356164383562,0.158904109589041,40,1
"0","5","0","2","0",242.86,"0",NA,70,"0","1","1","1","0","1","desiste",0,"1",1.83835616438356,1.72054794520548,41,1
"0","5","0","2","0",364.36,"0",NA,60,"0","1","1","1","0","0","convenio",11750,"1",6.14794520547945,0.704109589041096,42,1
"0","2","0","2","0",200,"0",NA,55,"0","1","1","1","0","0","desiste",0,"1",1.0986301369863,0.457534246575342,43,1
"0","1","0","2","0",372.84,"0",NA,57,"0","1","0","1","0","1","convenio",0,"1",3.13698630136986,2.60821917808219,44,1
"0","2","0","2","0",333.33,"1",NA,72,"0","1","1","1","0","1","convenio",18000,"1",0.30958904109589,1.55616438356164,45,1
"0","2","0","2","0",279.42,"0",NA,55,"0","1","1","1","0","1","convenio",12700,"1",3.62739726027397,0.515068493150685,46,1
"0","1","0","2","0",100,"0",NA,NA,"0","1","1","1","0","0","convenio",2000,"1",5.4986301369863,1.94794520547945,47,1
"0","3","0","2","0",206.67,"0",NA,40,"0","1","1","0","0","0","convenio",20000,"1",2.68767123287671,0.643835616438356,48,1
"0","2","1","1","0",2000,"0",NA,61,"1","1","1","1","0","1","convenio",60000,"1",2.23287671232877,0.564383561643836,49,1
"0","1","0","1","0",240,"0",NA,72,"1","1","1","1","1","0","desiste",0,"1",2.18082191780822,0.70958904109589,50,1
"0","4","0","2","0",2256.8,"0",NA,59,"0","1","1","1","0","1","convenio",20000,"1",19.7753424657534,0.227397260273973,51,1
"0","2","0","1","0",607.11,"0",NA,62,"1","0","1","0","0","0","convenio",49000,"1",12.7452054794521,1.02739726027397,52,1
"0","1","0","1","0",266.66,"1",NA,56,"1","1","1","1","1","1","convenio",5000,"1",0.778082191780822,0.172602739726027,53,1
"1","1","0","2","0",148.8,"1",NA,54,"0","1","1","1","0","0","convenio",12000,"1",0.854794520547945,0.643835616438356,54,1
"0","1","0","2","0",1030,"1",NA,45,"0","1","1","1","0","1","convenio",8000,"1",1.63561643835616,0.189041095890411,55,1
"0","1","0","2","0",578.8,"0",NA,72,"0","1","1","1","1","1","convenio",30000,"1",20.6712328767123,2.83287671232877,56,1
"0","3","0","1","0",500,"1",NA,65,"1","1","1","1","1","1","convenio",40000,"1",1.13972602739726,2.89315068493151,57,1
"0","1","0","2","0",100,"0",NA,60,"0","1","1","1","0","1","convenio",6500,"1",1.17808219178082,2.59178082191781,58,1
"0","3","0","2","0",1000,"0",NA,45,"0","1","1","1","0","0","convenio",53000,"1",2.1972602739726,0.197260273972603,59,1
"0","5","0","2","0",525.35,"0",NA,84,"0","1","1","1","0","0","convenio",25000,"1",5.04109589041096,0.465753424657534,60,1
"0","1","0","2","0",360,"1",NA,55,"0","1","1","1","1","1","desiste",0,"1",1.00821917808219,2.72876712328767,61,1
"0","3","0","2","0",568.2,"1",NA,45,"0","1","1","0","1","1","convenio",34000,"1",1.75068493150685,0.498630136986301,62,1
"0","3","0","2","0",864,"1",NA,60,"0","1","1","1","0","0","convenio",75000,"1",0.983561643835616,0.421917808219178,63,1
"0","3","0","2","0",142.65,"0",NA,105,"0","1","1","0","0","1","desiste",0,"1",0.482191780821918,0.942465753424658,64,1
"0","1","0","2","0",450,"0",NA,60,"0","1","1","1","0","1","caducidad",0,"1",0.350684931506849,2.18904109589041,65,1
"0","5","0","2","0",214.29,"0",NA,70,"0","1","1","1","0","0","desiste",0,"1",1.84109589041096,0.873972602739726,66,1
"0","2","0","1","0",830.81,"0",NA,60,"1","1","1","1","1","1","convenio",15000,"1",7.6986301369863,0.0684931506849315,67,1
"0","1","1","1","0",1106.66,"1",NA,60,"1","1","1","1","0","1","convenio",85000,"1",1.56438356164384,0.638356164383562,68,1
"0","3","0","1","0",1544.83,"1",NA,60,"1","0","1","1","0","1","convenio",6000,"1",0.964383561643836,0.284931506849315,69,1
"0","1","0","1","0",333.33,"1",NA,54,"1","0","1","0","0","1","convenio",20000,"1",8.06027397260274,0.808219178082192,70,1
"0","1","0","1","0",1373.33,"0",NA,54,"1","1","1","1","1","1","caducidad",0,"1",8.38630136986301,2.83561643835616,71,1
"0","2","0","2","0",235.06,"0",NA,47.5,"0","1","1","0","0","0","convenio",28500,"1",15.3452054794521,0.901369863013699,72,1
"1","1","0","1","0",663.92,"0",NA,63,"1","1","1","0","0","0","convenio",43548.66,"1",4.34520547945205,0.243835616438356,73,1
"1","1","0","2","0",247.27,"0",NA,65,"0","1","1","0","0","0","desiste",0,"1",9.46849315068493,0.158904109589041,74,1
"0","5","0","2","0",533.33,"0",NA,72,"0","1","1","1","0","1","convenio",30000,"1",1.07671232876712,1.30684931506849,75,1
"0","1","0","2","0",535.71,"0",NA,72,"0","1","1","1","0","0","convenio",15000,"1",0.983561643835616,1.55342465753425,76,1
"1","3","0","2","0",245.35,"1",NA,50,"0","1","1","1","0","0","desiste",0,"1",0.964383561643836,1.6027397260274,77,1
"0","3","0","2","0",500,"1",NA,60,"0","1","1","1","0","1","desiste",0,"1",0.931506849315068,0.391780821917808,78,1
"0","2","0","2","0",206.67,"1",NA,72,"0","1","1","1","0","1","convenio",12000,"1",0.789041095890411,0.550684931506849,79,1
"1","1","0","2","0",134.37,"0",NA,60,"0","1","1","0","0","0","convenio",1350,"1",0.120547945205479,0.153424657534247,80,1
"1","1","0","2","0",125.42,"1",NA,41,"0","1","1","0","0","0","desiste",0,"1",0.953424657534247,1.01369863013699,81,1
"0","4","0","1","0",256.96,"0",NA,60,"1","1","1","1","1","1","convenio",70000,"1",16.5452054794521,0.50958904109589,82,1
"0","3","0","1","0",400,"0",NA,96,"1","0","1","1","0","0","convenio",20000,"1",1.41917808219178,2.03835616438356,83,1
"0","2","0","1","0",176.97,"0",NA,51,"1","1","1","0","0","1","convenio",10000,"1",0.156164383561644,0.202739726027397,84,1
"0","3","0","2","0",500,"0",NA,60,"0","1","1","1","0","1","caducidad",0,"1",1.0958904109589,1.79178082191781,85,1
"0","1","0","2","0",184.47,"0",NA,41.5,"0","1","1","0","0","1","convenio",11000,"1",1.38630136986301,1.21917808219178,86,1
"0","3","0","2","0",450,"0",NA,60,"0","1","1","1","0","1","convenio",8000,"1",0.580821917808219,0.556164383561644,87,1
"0","3","0","1","0",266.66,"0",NA,42,"1","1","1","0","1","0","convenio",23000,"1",3.34794520547945,0.613698630136986,88,1
"0","1","0","2","0",60.06,"0",NA,72,"0","1","1","1","0","1","desiste",0,"1",1.76438356164384,1.28219178082192,89,1
"0","1","0","2","0",166.666666666667,"0",NA,48,"0","1","1","0","0","1","convenio",4500,"1",0.479452054794521,0.583561643835616,90,1
"0","1","1","2","0",950,"0",NA,66,"0","1","1","1","0","1","desiste",0,"1",6.92602739726027,0.205479452054795,91,1
"0","3","0","1","0",666.67,"0",NA,42,"1","1","1","0","1","1","desiste",0,"1",0.432876712328767,0.23013698630137,92,1
"0","3","0","1","0",333.33,"0",NA,42,"1","1","1","0","1","1","desiste",0,"1",0.432876712328767,0.208219178082192,93,1
"0","3","1","1","0",500,"0",NA,42,"1","1","1","0","1","1","desiste",0,"1",0.432876712328767,0.189041095890411,94,1
"0","1","0","2","0",462.58,"0",NA,72,"0","1","1","1","0","0","convenio",20000,"1",7.19178082191781,0.972602739726027,95,1
"0","1","0","2","0",1000,"0",NA,51,"0","1","1","1","0","1",NA,NA,"1",2.29315068493151,NA,96,0
"0","2","0","1","0",282,"0",NA,54,"1","1","1","0","1","0","desiste",0,"1",12.5753424657534,0.493150684931507,97,1
"0","4","0","1","0",200,"1",NA,50,"1","1","1","1","1","0","convenio",5000,"1",0.553424657534247,0.249315068493151,98,1
"0","1","0","2","0",604,"0",NA,66,"0","1","1","1","1","1","convenio",15000,"1",4.74794520547945,0.26027397260274,99,1
"0","6","1","1","0",11284.789,"1",NA,35,"1","1","1","0","1","1","desiste",0,"1",11.7479452054795,0.271232876712329,100,1
"0","7","0","2","0",642.857142857143,"0",NA,72,"0","1","1","1","1","1",NA,NA,"1",2.78904109589041,NA,101,0
"0","7","0","2","0",642.857142857143,"0",NA,72,"0","1","1","1","1","1",NA,NA,"1",2.78904109589041,NA,102,0
"0","7","0","2","0",642.857142857143,"0",NA,72,"0","1","1","1","1","1",NA,NA,"1",2.78904109589041,NA,103,0
"0","7","0","2","0",642.857142857143,"1",NA,72,"0","1","1","1","1","1",NA,NA,"1",2.78904109589041,NA,104,0
"0","3","0","2","0",1091.32666666667,"0",NA,50,"0","1","1","1","1","0","convenio",44000,"1",2.24383561643836,0.326027397260274,105,1
"0","6","0","2","0",134.76,"1",NA,54,"0","1","1","1",NA,"1","convenio",6500,"1",0.0904109589041096,0.295890410958904,106,1
"0","5","0","2","0",150,"1",NA,60,"0","1","1","1","0","1","desiste",0,"1",0.126027397260274,0.268493150684932,107,1
"0","1","0","2","0",166.666666666667,"0",NA,78,"0","1","1","1","0","1","convenio",10000,"1",3.74246575342466,0.0438356164383562,108,1
"0","3","0","2","0",263.36,"0",NA,70,"0","1","1","1","1","1","convenio",12000,"1",1.55890410958904,0.583561643835616,109,1
"0","5","0","2","0",200,"0",NA,72,"0","1","1","1","0","0","convenio",9000,"1",0.473972602739726,0.295890410958904,110,1
"0","2","0","2","1",1213.61,"0",NA,65,"0","1","1","1","0","1",NA,NA,"1",12.958904109589,NA,111,0
"0","2","0","1","0",376.073059360731,"0",NA,64.5,"1","1","1","1","1","1","convenio",26700,"1",5.91780821917808,1.85753424657534,112,1
"0","6","0","1","0",3333.33333333333,"1",NA,35,"1","1","1","0","1","1","convenio",162500,"1",1.75890410958904,2.45479452054795,113,1
"1","3","0","2","0",68.9,"1",NA,54,"0","1","1","1","0","0","convenio",5000,"1",2.15342465753425,0.723287671232877,114,1
"1","3","0","2","0",69.05,"0",NA,60,"0","1","1","0","0","0","desiste",0,"1",0.468493150684932,0.282191780821918,115,1
"0","1","0","2","0",8000,"0",NA,70,"0","0","1","1","0","1","convenio",11000,"1",2.4958904109589,0.591780821917808,116,1
"0","2","0","2","0",751.95,"0",NA,72,"0","1","1","1","1","1",NA,NA,"1",0.323287671232877,NA,117,0
"0","2","0","1","0",948.51,"0",NA,66,"1","1","1","1","1","1",NA,NA,"1",3.45479452054795,NA,118,0
"0","7","0","2","0",101.67,"0",NA,54,"0","1","1","0","0","1","convenio",17000,"1",1.18356164383562,0.876712328767123,119,1
"1","1","0","2","0",145.66,"0",NA,45,"0","1","1","0","0","0","convenio",6000,"1",3.61643835616438,0.849315068493151,120,1
"1","1","0","2","0",160.7,"1",NA,54,"0","1","1","0","0","0","convenio",12500,"1",4.53972602739726,1.95068493150685,121,1
"0","2","1","2","0",233.333333333333,"1",NA,72,"0","1","1","1","0","0","desiste",0,"1",8.46301369863014,0.550684931506849,122,1
"0","6","1","2","1",10000,"1",NA,47.5,"0","1","1","1","1","1","convenio",35000,"1",1.41643835616438,0.282191780821918,123,1
"0","3","0","2","0",366.66,"1",NA,55,"0","1","1","1","1","1","convenio",36000,"1",2.26301369863014,0.693150684931507,124,1
"0","3","0","2","0",216.66,"0",NA,60,"0","1","1","1","0","0","convenio",14941,"1",4.43835616438356,1.09315068493151,125,1
"0","2","1","1","0",630,"0",NA,55,"1","0","1","0","0","1","convenio",30000,"1",0.712328767123288,0.0684931506849315,126,1
"0","5","0","1","0",303.66,"0",NA,70,"1","0","1","0","0","0","convenio",20000,"1",5.87945205479452,1.68767123287671,127,1
"0","5","0","1","0",303.66,"0",NA,70,"1","0","1","0","0","0","convenio",10000,"1",5.68767123287671,1.68767123287671,128,1
"0","6","1","1","0",1333.33333333333,"1",NA,12,"1","1","1","0","1","1","desiste",0,"1",0.961643835616438,2.2986301369863,129,1
"0","1","0","2","0",72.56,"0",NA,48,"0","1","1","0","0","0","caducidad",0,"1",5.50958904109589,3.65753424657534,130,0
"0","5","0","2","0",300,"0",NA,66,"0","1","1","1","0","1","desiste",0,"1",18.9479452054795,2.20547945205479,131,1
"0","2","0","2","0",250,"0",NA,66,"0","1","1","1","0","1","convenio",15000,"1",2.14794520547945,1.46849315068493,132,1
"0","1","0","2","0",79,"1",NA,46,"0","1","1","1","0","1","convenio",16000,"1",2.56164383561644,0.904109589041096,133,1
"1","1","0","2","0",133.59,"1",NA,86.5,"0","1","1","0","0","0","convenio",10000,"1",21.7123287671233,0.0164383561643836,134,1
"0","6","0","2","0",200,"0",NA,54,"0","1","1","1","0","0","desiste",0,"1",19.3041095890411,0.263013698630137,135,1
"0","1","0","1","0",240.46,"1","1986",54,"1","1","1","0","1","1","convenio",15200,"1",2.84109589041096,0.282191780821918,136,1
"0","3","0","2","0",259.51,"0",NA,66,"0","1","1","1","0","0","desiste",0,"1",0.901369863013699,0.632876712328767,137,1
"0","3","1","2","0",460,"1",NA,50,"0","1","1","1","0","0","convenio",37000,"1",1.42191780821918,1.03561643835616,138,1
"0","3","0","2","0",250,"0","1951",48,"0","1","1","0","0","0","caducidad",0,"1",0.720547945205479,0.747945205479452,139,1
"0","2","0","2","0",56000,"0",NA,71,"0","1","1","1","1","0",NA,NA,"1",4.42191780821918,NA,140,0
"0","4","0","1","0",261.9,"0",NA,50,"1","1","1","1","0","1","desiste",0,"1",2.16712328767123,0.643835616438356,141,1
"0","6","0","1","0",376.701904761905,"0",NA,66,"1","0","1","1","0","0","desiste",0,"1",9.16712328767123,2.06849315068493,142,1
"0","3","0","2","0",280,"0",NA,60,"0","1","1","1","0","0","convenio",10000,"1",0.265753424657534,0.29041095890411,143,1
"0","7","0","2","0",154.33,"0",NA,54,"0","1","1","1","0","0","convenio",16000,"1",7.8958904109589,0.863013698630137,144,1
"0","5","0","2","0",308.571428571429,"0",NA,60,"0","1","1","1","0","1","convenio",13000,"1",6.14794520547945,1.24383561643836,145,1
"0","2","0","2","0",283.333333333333,"0",NA,60,"0","1","1","1","0","0","desiste",0,"1",3.15342465753425,0.594520547945205,146,1
"0","2","0","2","0",313.95,"0",NA,60,"0","1","1","1","0","1","convenio",24000,"1",3.45753424657534,0.621917808219178,147,1
"0","2","0","1","0",588,"1",NA,54,"1","1","1","1","1","1","convenio",60000,"1",6.0027397260274,0.961643835616438,148,1
"1","3","0","2","0",182.06,"0",NA,50,"0","1","1","0","0","0","convenio",4500,"1",0.23013698630137,0.063013698630137,149,1
"0","2","0","1","0",294,"1",NA,54,"1","1","1","1","0","0","convenio",70000,"1",15.4794520547945,3.47671232876712,150,0
"0","1","0","1","0",435,"1",NA,55,"1","0","0","1","0","1","convenio",7000,"1",1.21643835616438,0.619178082191781,151,1
"0","3","0","2","0",628.628571428571,"0","1986",60,"0","1","1","1","0","1","convenio",23500,"1",1.75068493150685,0.30958904109589,152,1
"0","1","0","2","0",406,"0",NA,60,"0","1","1","1","0","0","convenio",15000,"1",25.0027397260274,1.12328767123288,153,1
"1","1","0","2","0",154.7,"1",NA,48,"0","1","1","0","0","0","convenio",10000,"1",5.04657534246575,2.53424657534247,154,1
"1","6","0","2","0",89.01,"0",NA,48,"0","1","1","0","0","0","desiste",0,"1",1.39178082191781,0.605479452054794,155,1
"0","7","0","1","0",1508,"1",NA,66,"1","0","1","1","0","1","desiste",0,"1",2.34794520547945,2.21369863013699,156,1
"0","3","0","2","0",3500,"0",NA,60,"0","1","1","1","0","0","convenio",11500,"1",1.1013698630137,0.605479452054794,157,1
"0","6","1","2","0",431.46,"1","1986",47.5,"0","1","1","0","0","0","caducidad",0,"1",2.44109589041096,0.838356164383562,158,1
"1","3","0","2","0",260.13,"1",NA,45,"0","1","1","0","0","0","convenio",10000,"1",0.0438356164383562,1.22739726027397,159,1
"1","3","0","2","0",181.55,"0","1970",87,"0","1","1","0","0","0","convenio",7000,"1",1.43013698630137,3.30684931506849,160,0
"0","1","0","2","0",94.19,"1","1976",48,"0","1","1","0","0","1","convenio",5800,"1",1.01643835616438,1.29315068493151,161,1
"1","3","0","2","0",130.19,"0",NA,36,"0","1","1","0","0","0","caducidad",0,"1",0.69041095890411,3.71506849315068,162,0
"0","1","0","1","0",300,"0",NA,50,"1","1","1","0","0","0",NA,NA,"1",1.07945205479452,NA,163,0
"0","1","0","2","0",235,"0",NA,66,"0","1","1","1","0","0",NA,NA,"1",2.12328767123288,NA,164,0
"0","2","0","2","0",450,"1",NA,60,"0","1","1","1","0","1",NA,NA,"1",1.05753424657534,NA,165,0
"0","2","0","2","0",450,"1",NA,60,"0","1","1","1","0","1",NA,NA,"1",1.05753424657534,NA,166,0
"0","1","1","2","0",666.666666666667,"0",NA,50,"0","1","1","1","0","1","convenio",36000,"1",3.13150684931507,1.13424657534247,167,1
"0","8","0","2","1",220,"1",NA,30,"0","1","0","0","0","1","convenio",3000,"1",0.0602739726027397,0.619178082191781,168,1
"0","9","0","2","0",300,"0",NA,60,"0","1","1","1","0","0",NA,NA,"1",0.372602739726027,NA,169,0
"0","6","0","1","0",449,"0",NA,66,"1","1","1","0","1","0","desiste",0,"1",NA,0.63013698630137,170,1
"0","7","0","2","0",272.586666666667,"0",NA,60,"0","1","1","1","1","0","convenio",6200,"1",27.3534246575342,2.67123287671233,171,1
"0","5","0","2","0",200,"0",NA,56,"0","1","1","1","0","0","convenio",12000,"1",1.16712328767123,1.72054794520548,172,1
"0","3","0","2","0",526.11,"0",NA,42,"0","1","1","1","0","1","convenio",33000,"1",0.923287671232877,0.30958904109589,173,1
"0","1","0","1","0",250,"0",NA,84,"1","1","1","1","1","1",NA,NA,"1",6.12602739726027,NA,174,0
"0","1","0","1","0",250,"0",NA,84,"1","1","1","1","1","1",NA,NA,"1",0.205479452054795,NA,175,0
"0","1","0","1","0",250,"0",NA,84,"1","1","1","1","1","1",NA,NA,"1",6.04931506849315,NA,176,0
"0","1","0","1","0",250,"0",NA,84,"1","1","1","1","1","1",NA,NA,"1",2.2027397260274,NA,177,0
"0","1","0","1","0",250,"0",NA,84,"1","1","1","1","1","1",NA,NA,"1",4.73972602739726,NA,178,0
"0","2","1","1","0",1666.66,"0",NA,50,"1","0","1","1","0","1","convenio",120000,"1",7.33424657534247,0.361643835616438,179,1
"0","3","0","2","0",324.94,"0",NA,48,"0","1","1","0","0","0","convenio",30500,"1",7.96712328767123,0.652054794520548,180,1
"0","3","0","1","0",175,"1",NA,51,"1","0","1","1","0","1","convenio",12500,"1",3.3041095890411,0.304109589041096,181,1
"0","5","0","2","0",460,"0",NA,77,"0","1","1","0","0","0","desiste",0,"1",5.76438356164384,1.12328767123288,182,1
"0","5","0","1","0",190.826,"0",NA,NA,"1","1","1","1","0","1",NA,NA,"1",3.05479452054795,NA,183,0
"0","3","0","1","0",290.36,"0",NA,55,"1","0","1","1","0","1","convenio",35000,"1",4.34246575342466,1.73698630136986,184,1
"0","2","0","2","0",85.7142857142857,"0",NA,NA,"0","1","1","1","0","1","convenio",33000,"1",20.1506849315068,1.70684931506849,185,1
"0","4","1","1","0",266.66,"0",NA,47.5,"1","1","1","0","1","0","convenio",60000,"1",9.60547945205479,0.252054794520548,186,1
"0","3","0","2","0",191.11,"0",NA,54,"0","1","1","0","0","0","convenio",10000,"1",0.536986301369863,0.208219178082192,187,1
"1","8","0","2","0",121.16,"0",NA,70,"0","1","1","0","0","0","desiste",0,"1",41.1095890410959,0.865753424657534,188,1
"0","1","0","1","0",380,"1",NA,66,"1","1","1","1","1","1","convenio",25000,"1",16.5315068493151,0.282191780821918,189,1
"0","2","0","2","0",450,"1",NA,63,"0","1","1","1","0","1",NA,NA,"1",0.632876712328767,NA,190,0
"0","2","0","2","0",450,"1",NA,63,"0","1","1","1","0","1",NA,NA,"1",0.706849315068493,NA,191,0
"0","2","0","2","0",450,"1",NA,63,"0","1","1","1","0","1",NA,NA,"1",0.789041095890411,NA,192,0
"0","2","0","2","0",450,"1",NA,63,"0","1","1","1","0","1",NA,NA,"1",0.632876712328767,NA,193,0
"0","2","0","2","0",450,"0",NA,63,"0","1","1","1","0","1",NA,NA,"1",0.632876712328767,NA,194,0
"0","3","0","1","0",695.85,"0",NA,72,"1","1","1","0","1","1","convenio",69950,"1",6.64931506849315,1.15342465753425,195,1
"0","1","0","1","0",300,"1",NA,42,"1","0","1","0","0","0","convenio",10000,"1",2.63287671232877,1.55342465753425,196,1
"0","6","0","1","0",583.33,"1",NA,52.5,"1","1","1","0","1","1","desiste",0,"1",1.03287671232877,2.12876712328767,197,1
"0","1","0","2","0",150,"0",NA,54,"0","1","1","1","0","1","convenio",9000,"1",4.38356164383562,1.28493150684932,198,1
"0","5","0","2","0",285.714285714286,"0",NA,66,"0","1","1","1","0","1","desiste",0,"1",14.2602739726027,1.21369863013699,199,1
"0","7","0","2","0",166.666666666667,"0",NA,72,"0","1","1","1","0","0","desiste",0,"1",0.520547945205479,1.44931506849315,200,1
"1","6","0","2","0",532.05,"0",NA,50,"0","1","1","0","0","0","convenio",28542,"1",5.08767123287671,1.54520547945205,201,1
"0","5","0","1","0",500,"0",NA,66,"1","0","1","1","0","0","convenio",14100,"1",7.41095890410959,1.55068493150685,202,1
"0","1","0","2","0",113.19,"1",NA,66,"0","1","1","1","0","0","convenio",5000,"1",0.416438356164384,1.26027397260274,203,1
"0","1","1","2","0",500,"0",NA,102,"0","1","1","1","0","1","caducidad",0,"1",1.47123287671233,2.64383561643836,204,1
"0","7","0","1","0",153.333333333333,"0",NA,54,"1","0","1","1","0","1","convenio",5000,"1",0.947945205479452,0.69041095890411,205,1
"0","1","0","1","0",942.09,"0",NA,72,"1","0","1","1","0","1","convenio",13000,"1",0.646575342465753,0.457534246575342,206,1
"0","5","0","2","0",193.25,"1",NA,51,"0","1","1","1","0","1","convenio",16072,"1",1.47945205479452,0.243835616438356,207,1
"0","1","0","2","0",86.6666666666667,"0",NA,54,"0","1","1","1","0","0","convenio",9000,"1",1.51780821917808,0.956164383561644,208,1
"0","2","1","2","0",600,"0",NA,50,"0","1","1","0","0","0","desiste",0,"1",0.621917808219178,0.00273972602739726,209,1
